Filename, Average, Standard deviation, Minimum, Maximum
./samples/2000/sample1.bin,0.127542,7.19205,0.00149573,0.624025
./samples/2000/sample2.bin,0.121932,6.8938,0.0014328,0.584237
./samples/2000/sample3.bin,0.125621,7.0764,0.000506962,0.712698
./samples/2000/sample4.bin,0.123216,7.01973,0.0011609,0.721026
./samples/2000/sample5.bin,0.121258,6.79969,0.000558841,0.658012
./samples/2000/sample6.bin,0.127203,7.12794,0.000937343,0.614886
./samples/2000/sample7.bin,0.126438,7.05329,0.000197009,0.587718
./samples/2000/sample8.bin,0.120783,6.81526,0.000443662,0.643113
./samples/2000/sample9.bin,0.128733,7.24979,0.00242354,0.714705
./samples/2000/sample10.bin,0.123716,6.90078,0.000137682,0.55895
